timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624669716852,1973,HTTP Request/ Music,200,,Spike test 1-1073,text,true,,7277,116,2066,2066,http://localhost:8082/,1973,0,1
1624669716906,1920,HTTP Request/ Music,200,,Spike test 1-321,text,true,,7277,116,2066,2066,http://localhost:8082/,1920,0,2
1624669718922,21,HTTP Request/ Music,200,,Spike test 1-1290,text,true,,7277,116,2067,2067,http://localhost:8082/,21,0,2
1624669718924,21,HTTP Request/ Music,200,,Spike test 1-184,text,true,,7277,116,2067,2067,http://localhost:8082/,21,0,2
1624669718927,21,HTTP Request/ Music,200,,Spike test 1-2725,text,true,,7277,116,2067,2067,http://localhost:8082/,21,0,2
1624669718930,21,HTTP Request/ Music,200,,Spike test 1-476,text,true,,7277,116,2067,2067,http://localhost:8082/,21,0,2
1624669718908,46,HTTP Request/ Music,200,,Spike test 1-325,text,true,,7277,116,2067,2067,http://localhost:8082/,46,0,27
1624669718908,48,HTTP Request/ Music,200,,Spike test 1-1368,text,true,,7277,116,2067,2067,http://localhost:8082/,48,0,29
1624669718909,50,HTTP Request/ Music,200,,Spike test 1-1864,text,true,,7277,116,2067,2067,http://localhost:8082/,50,0,30
1624669718919,43,HTTP Request/ Music,200,,Spike test 1-1291,text,true,,7277,116,2067,2067,http://localhost:8082/,43,0,21
1624669718922,43,HTTP Request/ Music,200,,Spike test 1-2786,text,true,,7277,116,2067,2067,http://localhost:8082/,43,0,19
1624669718921,46,HTTP Request/ Music,200,,Spike test 1-417,text,true,,7277,116,2067,2067,http://localhost:8082/,46,0,20
1624669718942,28,HTTP Request/ Music,200,,Spike test 1-419,text,true,,7277,116,2067,2067,http://localhost:8082/,28,0,2
1624669716882,1945,HTTP Request/ Music,200,,Spike test 1-1533,text,true,,7277,116,2066,2066,http://localhost:8082/,1945,0,1
1624669717136,1783,HTTP Request/ Music,200,,Spike test 1-1159,text,true,,7277,116,2067,2067,http://localhost:8082/,1783,0,1
1624669718980,9,HTTP Request/ Music,200,,Spike test 1-197,text,true,,7277,116,2068,2068,http://localhost:8082/,9,0,2
1624669718983,12,HTTP Request/ Music,200,,Spike test 1-1075,text,true,,7277,116,2068,2068,http://localhost:8082/,12,0,1
1624669717438,1481,HTTP Request/ Music,200,,Spike test 1-1066,text,true,,7277,116,2067,2067,http://localhost:8082/,1481,0,2
1624669718998,12,HTTP Request/ Music,200,,Spike test 1-1289,text,true,,7277,116,2068,2068,http://localhost:8082/,12,0,1
1624669719000,12,HTTP Request/ Music,200,,Spike test 1-104,text,true,,7277,116,2068,2068,http://localhost:8082/,12,0,2
1624669717245,1587,HTTP Request/ Music,200,,Spike test 1-2263,text,true,,7277,116,2067,2067,http://localhost:8082/,1587,0,2
1624669719003,11,HTTP Request/ Music,200,,Spike test 1-1039,text,true,,7277,116,2068,2068,http://localhost:8082/,11,0,2
1624669719006,10,HTTP Request/ Music,200,,Spike test 1-3128,text,true,,7277,116,2068,2068,http://localhost:8082/,10,0,2
1624669716909,1920,HTTP Request/ Music,200,,Spike test 1-1252,text,true,,7277,116,2067,2067,http://localhost:8082/,1920,0,1
1624669718877,39,HTTP Request/ Music,200,,Spike test 1-80,text,true,,7277,116,2067,2067,http://localhost:8082/,39,0,2
1624669718876,38,HTTP Request/ Music,200,,Spike test 1-2419,text,true,,7277,116,2067,2067,http://localhost:8082/,38,0,2
1624669718242,669,HTTP Request/ Music,200,,Spike test 1-1566,text,true,,7277,116,2067,2067,http://localhost:8082/,669,0,572
1624669716846,2064,HTTP Request/ Music,200,,Spike test 1-296,text,true,,7277,116,2067,2067,http://localhost:8082/,2064,0,1
1624669718242,667,HTTP Request/ Music,200,,Spike test 1-1292,text,true,,7277,116,2067,2067,http://localhost:8082/,667,0,571
1624669716442,2452,HTTP Request/ Music,200,,Spike test 1-1077,text,true,,7277,116,2066,2066,http://localhost:8082/,2452,0,839
1624669718126,768,HTTP Request/ Music,200,,Spike test 1-437,text,true,,7277,116,2066,2066,http://localhost:8082/,768,0,1
1624669717912,982,HTTP Request/ Music,200,,Spike test 1-66,text,true,,7277,116,2066,2066,http://localhost:8082/,982,0,1
1624669716390,2503,HTTP Request/ Music,200,,Spike test 1-1277,text,true,,7277,116,2066,2066,http://localhost:8082/,2503,0,853
1624669718222,671,HTTP Request/ Music,200,,Spike test 1-151,text,true,,7277,116,2066,2066,http://localhost:8082/,671,0,1
